"",Matrix::rowSums(assay(gast_cds))
LOC105339708,0
LOC117688534,3
LOC117688535,0
LOC105326557,22
LOC105339710,0
LOC117688536,0
LOC117686794,372
LOC117686795,61
LOC117686796,1
LOC117686797,7
LOC117686798,3
LOC117686799,0
LOC117688070,4
LOC109620878,3
LOC105346030,2
LOC117688537,120
LOC117688068,0
LOC117688069,0
LOC105326355,1
LOC117688072,0
LOC105328120,74
LOC117688071,8
LOC117687186,0
LOC105340048,2
LOC117687068,0
LOC117687069,0
LOC117687270,0
LOC105340047,24
LOC117688300,0
LOC117688301,0
LOC117688302,0
LOC117688303,1
LOC105340013,1
LOC109618271,4
LOC117688304,0
LOC105324601,4
LOC117688305,107
LOC117688306,0
LOC105340014,1
LOC117688307,0
LOC117688308,2
LOC109618706,6
LOC117688538,0
LOC117687599,0
LOC117687563,0
LOC105343433,0
LOC105343434,4
LOC105318219,325
LOC105318217,60
LOC117687659,49
LOC105343517,4031
LOC117687660,48
LOC105343511,0
LOC105343512,28
LOC117687661,4
LOC117687662,33
LOC109620675,26
LOC105344069,167
LOC105344083,11440
LOC105344082,454
LOC109620684,126
LOC105344120,33
LOC117687663,74
LOC105344091,82
LOC105344097,4654
LOC109620674,1
LOC117688539,1
LOC117686807,0
LOC105344444,1
LOC117688540,1
LOC105344435,29
LOC117687220,0
LOC105318691,0
LOC105342568,0
LOC105345636,0
LOC105333551,21
LOC105333605,7
LOC105333541,5
LOC117688198,753
LOC105333599,56
LOC105319418,0
LOC117688199,0
LOC105344437,5
LOC105342635,3
LOC109621196,1
LOC105348153,0
LOC117687946,61
LOC117687947,11
LOC105323004,17
LOC117688541,8
LOC105348152,0
LOC117687948,0
LOC117688542,0
LOC105345162,6438
LOC105327327,0
LOC117687269,2
LOC105323668,1
LOC105323666,0
LOC117687247,58
LOC117687156,0
LOC117687316,0
LOC117687101,0
LOC105337984,24007
LOC105337986,21
LOC105337985,5
LOC117688151,2
LOC117688152,45
LOC117688153,0
LOC117688154,0
LOC105337231,0
LOC105337230,0
LOC105337228,0
LOC105337265,0
LOC105339633,63
LOC105339632,804
LOC105337262,0
LOC105337225,4
LOC105337224,0
LOC117686949,0
LOC105331787,21
LOC117686950,0
LOC117688543,0
LOC105337223,0
LOC117688544,0
LOC117687701,0
LOC105337220,53
LOC105337218,250
LOC117688545,1373
LOC105337260,6467
LOC105334861,225
LOC105328094,5941
LOC117686813,12
LOC105328095,4664
LOC105328096,4008
LOC105328097,17
LOC117687858,0
LOC105330810,0
LOC105337517,2
LOC105337524,0
LOC105337534,1
LOC105330336,5
LOC117687859,0
LOC117688231,0
LOC105337464,10
LOC105338436,28
LOC117688546,116
LOC117688232,0
LOC105337491,0
LOC117688233,1
LOC117688547,0
LOC117687273,0
LOC117688337,2
LOC117688548,0
LOC105328498,7
LOC117688338,66
LOC117688339,0
LOC117688340,0
LOC105332632,0
LOC117687056,0
LOC117687057,0
LOC117687058,0
LOC117687017,0
LOC117687030,0
LOC117688549,0
LOC117687189,0
LOC117687161,1
LOC105339763,0
LOC117687091,0
LOC117687024,1
LOC117687026,0
LOC117687311,0
LOC117687093,169
LOC105329684,2
LOC105329686,583
LOC117680460,2682
LOC117687564,1085
LOC117687565,38
LOC105329690,3351
LOC105329691,69
LOC117687566,63
LOC117687567,13366
LOC105329695,3329
LOC105329696,3044
LOC105329699,7
LOC117687568,35
LOC105324438,5
LOC117687569,2
LOC117687570,0
LOC117688550,24
LOC117687571,7
LOC117688551,3
LOC117687572,0
LOC117687573,0
LOC117687574,0
LOC105323495,0
LOC105324437,0
LOC117687575,1
LOC117687576,0
LOC117687577,1
LOC117688552,0
LOC117688553,0
LOC105346519,0
LOC117688155,6
LOC117688156,11
LOC117688157,0
LOC109619929,0
LOC117688158,2
LOC109619930,16
LOC117688159,0
LOC117688554,0
LOC117688160,0
LOC105332273,0
LOC105340230,0
LOC117687262,0
LOC105337989,0
LOC105337990,29
LOC117687047,0
LOC105321357,2
LOC117687046,1
LOC117687540,0
LOC117687242,0
LOC117687188,1
LOC117687481,0
LOC117688555,0
LOC117688556,0
LOC105337264,0
LOC117686918,0
LOC117688557,15
LOC117686920,0
LOC117686919,3
LOC117687126,43
LOC117687073,57
LOC105347960,0
LOC117687989,0
LOC117686901,5
LOC105347959,1
LOC105347957,0
LOC105347956,2
LOC117687153,3
LOC117687190,0
LOC117687784,0
LOC117687128,0
LOC105329681,0
LOC117687334,6
LOC117687597,5
LOC105329682,0
LOC105319335,0
LOC117687064,0
LOC105329683,329
LOC117687427,0
LOC117687430,4
LOC117687428,1373
LOC105329687,699
LOC117687425,6
LOC117687426,4
LOC117687429,3
LOC105329689,2558
LOC105329688,15
LOC117687431,4628
LOC117687432,125
LOC105329693,160
LOC105329694,11231
LOC117680417,238
LOC117687434,43
LOC117687433,8853
LOC117687435,53
LOC117687436,14
LOC117687438,0
LOC117687439,0
LOC105329698,81
LOC117687440,0
LOC117687441,12
LOC117687442,2
LOC105337701,0
LOC117687443,0
LOC105337706,5
LOC105337702,1
LOC105343066,1053
LOC117680554,384
LOC105343065,1681
LOC117687307,99
LOC117687308,499
LOC105343064,2373
LOC105343062,93
LOC105336741,412
LOC105336742,12630
LOC105336743,289
LOC105336744,5
LOC105336745,652
LOC105330604,54
LOC105344101,2873
LOC105344104,3801
LOC105344102,565
LOC105347766,160
LOC117688175,130
LOC117688176,5046
LOC105338045,5177
LOC105347786,69
LOC105338054,8601
LOC117688177,3639
LOC105338015,4
LOC109619954,77
LOC105342641,48
LOC117688180,1
LOC117688183,146
LOC117688178,62
LOC117688179,59
LOC117688186,2238
LOC105345712,59
LOC117688187,9
LOC117688182,8
LOC117688188,653
LOC105338033,0
LOC117688184,21
LOC105317460,257
LOC117688181,13
LOC117688189,106
LOC105323166,41
LOC117688185,1869
LOC105338002,4677
LOC105337988,4079
LOC105338112,40
LOC117680541,29
LOC105338096,1657
LOC105344299,6818
LOC105323169,1143
LOC105323168,837
LOC105323167,58699
LOC105323165,17152
LOC117688195,5375
LOC117688190,49
LOC109619069,1009
LOC117688191,34
LOC105325503,2
LOC117680491,4
LOC105325492,300
LOC117688196,286
LOC105325504,141
LOC105325493,1659
LOC117688193,135
LOC105342497,37
LOC105342490,55
LOC105342492,36657
LOC105342493,2028
LOC105342494,599
LOC117688558,1
LOC105342495,747
LOC117688194,0
LOC105342498,178758
LOC105342496,179
LOC105320240,179
LOC105320219,116
LOC105320218,5464
LOC105320216,3381
LOC105320215,42
LOC109617509,788
LOC105320214,75670
LOC105320239,132
LOC117688197,12
LOC105320211,224
LOC109620727,59
LOC105320950,46
LOC117688279,7861
LOC117688280,938
LOC117688281,0
LOC117688559,428
LOC105320555,77
LOC117688282,132
LOC105324052,482
LOC117687277,19
LOC117680332,5686
LOC105343846,50571
LOC117688560,13
LOC105333531,51
LOC117688341,19
LOC117688561,0
LOC117686926,3061
LOC105328389,129
LOC117687876,615
LOC105323301,2004
LOC105323299,4796
LOC105323297,826
LOC105323497,4
LOC105343176,193
LOC105329029,430
LOC105340916,585
LOC105342922,358
LOC105342921,134
LOC117687880,0
LOC117687879,8
LOC105339402,94
LOC117687878,0
LOC109617306,15
LOC105339403,1580
LOC105339404,9
LOC117687883,198
LOC105325220,1362
LOC105341949,39
LOC117687885,2157
LOC105349181,39
LOC117687882,722
LOC105331575,1322
LOC105331574,3545
LOC105320967,27871
LOC105320968,84
LOC117687881,225
LOC117680458,853
LOC117687884,15
LOC105339410,127
LOC105342917,18864
LOC105342918,3627
LOC105342919,75906
LOC105342923,360
LOC117687886,64
LOC105323303,3
LOC117687887,1969
LOC105323298,13
LOC117687888,20115
LOC105322070,741
LOC117687889,318
LOC105337117,207
LOC105334126,246
LOC105319990,4124
LOC117688202,21
LOC105338389,2
LOC117688200,42
LOC117686903,38146
LOC105343845,4467
LOC105345596,2
LOC117687160,0
LOC117687184,8
LOC117680317,784
LOC117687596,1289
LOC105334156,3488
LOC109619510,2363
LOC105334157,1265
LOC105334159,17475
LOC105323998,39638
LOC105334160,18
LOC105334163,82
LOC105334162,10259
LOC105337303,5691
LOC105326959,13
LOC117688562,4
LOC105326960,68
LOC105326944,1063
LOC105347754,9
LOC105337912,2180
LOC105337955,158
LOC105321075,5
LOC109618614,3708
LOC117687142,6
LOC105344907,11
LOC117687554,10
LOC117687049,1
LOC117687165,7
LOC105330979,5
LOC117687098,32
LOC105321637,52
LOC117687080,0
LOC105342618,373
LOC109619300,16
LOC105332744,83
LOC105332745,19
LOC105332728,3
LOC105332729,2
LOC105332731,8
LOC105332747,4
LOC105332732,2
LOC117688317,0
LOC117688325,0
LOC117688318,0
LOC109621167,0
LOC117688323,0
LOC117688312,59
LOC117688326,219
LOC105332748,0
LOC105332733,84
LOC105334221,310
LOC117688314,477
LOC109620771,0
LOC105317051,2
LOC109620074,0
LOC117688315,1
LOC105346231,572
LOC117688320,0
LOC117688319,1
LOC117688321,2
LOC117688324,12
LOC105334968,1059
LOC117688316,3
LOC117680519,16
LOC117688327,0
LOC105334200,0
LOC105332734,1
LOC109621166,2
LOC105341805,201
LOC117688311,372198
LOC109618201,0
LOC117688322,15
LOC105336811,7
LOC105338438,0
LOC105338439,4
LOC117688328,1
LOC117688329,4
LOC117688563,1
LOC105334293,16
LOC117688334,0
LOC105328778,2
LOC105340720,2
LOC109619860,2
LOC105345149,5
LOC105324048,3
LOC117688333,8
LOC117688332,18
LOC109620846,3
LOC105348212,1248
LOC105324614,3
LOC117688330,6
LOC117688336,58
LOC117688335,18
LOC117687181,0
LOC117688564,1
LOC105329944,4
LOC117687933,5
LOC117687932,0
LOC117687934,2
LOC117687929,1
LOC117687931,4
LOC117687937,1
LOC109619508,2
LOC117687940,0
LOC105334152,4
LOC105334146,22
LOC117687938,2
LOC117687935,4
LOC105317430,109
LOC105345631,1
LOC117687936,1
LOC105324599,1
LOC117687939,360
LOC109619509,5
LOC109617269,0
LOC117687930,0
LOC105337738,0
LOC117687941,307
LOC105337735,18836
LOC105337736,322
LOC105337734,132
LOC105337733,2013
LOC105335201,3467
LOC105335199,18925
LOC105335198,3162
LOC105335197,3488
LOC105335196,5235
LOC105335195,11
LOC117687942,5
LOC105335194,0
LOC105335193,2789
LOC105335191,3619
LOC105335204,9
LOC105335203,3343
LOC105335189,4357
LOC105335188,2266
LOC105335187,61384
LOC105335186,17869
LOC117688565,811
LOC105330874,6324
LOC105330873,6526
LOC105330870,467
LOC105348404,7
LOC117687943,10
LOC117687944,0
LOC105348389,0
LOC105340708,8
LOC105328165,7
LOC117688355,0
LOC109617923,38
LOC117688356,1
LOC105318311,0
LOC117688357,2
LOC117688566,0
LOC105348392,0
LOC117680313,3
LOC117687616,2
LOC105326623,3115
LOC105321396,3
LOC105317671,0
LOC105317672,1
LOC117687617,0
LOC117687618,0
LOC105334693,0
LOC117688567,0
LOC117687619,0
LOC117687620,67
LOC117687622,0
LOC117688568,2
LOC117687624,1
LOC105334690,1
LOC117687621,0
LOC117687623,0
LOC105334685,16312
LOC105334689,497
LOC105334683,4065
LOC117687250,139
LOC105334681,11392
LOC105334682,5797
LOC105334680,18
LOC105334679,25
LOC105334677,773
LOC105334676,451
LOC105334675,2728
LOC105348579,24
LOC105323898,1
LOC109619188,79
LOC105329566,2
LOC105342899,0
LOC105342886,0
LOC117687252,0
LOC117687253,0
LOC117687125,6
LOC105329572,0
LOC117687896,0
LOC105329567,20
LOC105334833,15
LOC105323883,3
LOC105327906,2
LOC105327891,1
LOC109618710,3
LOC105317264,548
LOC117687893,5
LOC117688569,0
LOC117688570,0
LOC105343550,208
LOC117687895,5
LOC105341263,5
LOC117688571,0
LOC105343577,0
LOC105338954,10
LOC105338080,2
LOC117687894,7
LOC117688572,2
LOC117688573,0
LOC117688574,2
LOC117688575,4
LOC117688363,5
LOC117688364,0
LOC109617953,5
LOC117688365,0
LOC105342610,1
LOC117688366,4
LOC117687116,66
LOC105319473,2
LOC117688576,0
LOC109618376,7
LOC117680316,0
LOC117687718,7
LOC117688577,0
LOC105339744,881
LOC117687059,10
LOC117688578,4
LOC105342642,24
LOC105331813,0
LOC117687259,0
LOC117687260,11
LOC117687149,1
LOC105345270,448
LOC117687174,28
LOC117688579,32
LOC117688580,0
LOC109618848,6
LOC117688581,29
LOC117687127,14
LOC117687147,8
LOC117687148,0
LOC117687095,2
LOC105325293,4
LOC105325292,1
LOC117687096,0
LOC117687120,293
LOC117688582,4
LOC105336394,3
LOC117688583,0
LOC105317073,20
LOC117687902,89
LOC105326380,1
LOC105330844,57
LOC109618514,275
LOC105325729,16
LOC117687901,16
LOC117687897,4
LOC117687898,9
LOC117687900,0
LOC117687899,3
LOC117688584,0
LOC105317074,1
LOC117687081,19
LOC105317082,0
LOC105321732,0
LOC117687104,0
LOC117687200,3
LOC117687272,688
LOC117688585,0
LOC117687968,0
LOC105334721,0
LOC117687969,0
LOC117687970,0
LOC105348603,0
LOC105331252,2
LOC117687971,1008
LOC117687972,27
LOC117687973,3
LOC105338238,107
LOC117688586,2191
LOC117687131,99
LOC117687132,1
LOC117687112,3
LOC105342803,0
LOC105318900,84
LOC117687029,203
LOC105317615,2
LOC117686939,2
LOC117686941,556
LOC105325307,504
LOC117686940,1218
LOC117688587,2580
LOC105321788,0
LOC117688683,2
LOC117688588,2
LOC117688684,0
LOC117688589,0
LOC117687255,63
LOC117687177,13
LOC109619072,1
LOC117688019,1
LOC105328159,1
LOC109619540,0
LOC117688590,0
LOC117688023,4
LOC109621151,2
LOC117688020,1
LOC117688021,1
LOC105347702,17
LOC117688017,0
LOC117688591,0
LOC117688592,0
LOC117688593,0
LOC117688594,0
LOC117688595,0
LOC117688596,3
LOC117688018,19
LOC117688022,3
LOC117688597,1
LOC105325494,0
LOC117687023,31
LOC117687967,20
LOC117686937,23
LOC109620301,1
LOC105345152,1
LOC109618247,2
LOC105331389,1
LOC105331388,1
LOC105331379,0
LOC117686931,399
LOC117686932,31
LOC117686933,6
LOC117687282,0
LOC117688598,113
LOC117686986,55
LOC117686987,55
LOC117686988,122
LOC117686990,105
LOC117686989,136
LOC109617161,4
LOC105348685,3852
LOC117687979,47
LOC117687714,38
LOC117688599,0
LOC109619847,1
LOC117687990,24
LOC105326015,0
LOC105322876,1
LOC117688600,0
LOC117687991,33
LOC105329670,1
LOC117688601,7
LOC117686838,0
LOC109618833,0
LOC117687448,1
LOC117687482,1
LOC117687891,0
LOC117687123,33
LOC117688602,12
LOC117687330,1
LOC117688603,0
LOC105346359,13
LOC117688604,30
LOC117688605,0
LOC105337032,0
LOC117687078,0
LOC117687169,31
LOC117687170,22
LOC117687171,0
LOC117687625,1
LOC117688606,0
LOC117687515,2
LOC117687344,0
LOC117687002,10
LOC117687001,0
LOC117687000,0
LOC117687051,0
LOC117687052,26
LOC117688607,0
LOC105336207,2
LOC105336206,1
LOC105337620,1
LOC105330783,72
LOC117688361,14
LOC117688362,0
LOC105331041,3
LOC117687140,0
LOC117687139,0
LOC105324039,0
LOC117688608,0
LOC105336208,3
LOC117687541,7
LOC117688609,0
LOC117686868,1
LOC117688610,4
LOC105339356,49
LOC117686877,13
LOC117686888,132
LOC117686872,5
LOC105321081,2
LOC105321787,0
LOC117686891,84
LOC109620191,40
LOC117688611,0
LOC117688612,0
LOC109620711,0
LOC117686885,2
LOC117686875,46
LOC117686880,0
LOC105333694,0
LOC105340806,0
LOC117688613,0
LOC117686889,0
LOC117686876,0
LOC117686870,0
LOC117688614,0
LOC117686883,11
LOC117688615,0
LOC117686879,4
LOC117686878,11
LOC105331205,0
LOC109620993,13
LOC109618154,16
LOC117688616,0
LOC117686886,19
LOC117686887,2
LOC117686871,7
LOC105327681,11
LOC117688617,1
LOC117686874,2
LOC117686882,1
LOC117680640,7
LOC117688618,0
LOC105321476,21
LOC105333712,0
LOC117686869,2
LOC117688619,2
LOC117686873,7
LOC117686881,0
LOC109619430,14
LOC117686893,2
LOC117686892,0
LOC117688620,0
LOC117688621,0
LOC105333925,0
LOC117688622,147
LOC117686894,8
LOC105346776,5
LOC109621051,8
LOC117686895,0
LOC105344750,143
LOC105322146,2
LOC109617890,1
LOC105322144,0
LOC105322143,4
LOC105322170,0
LOC117688623,19
LOC117687674,0
LOC105322916,1
LOC105322142,0
LOC105322737,1
LOC105344913,0
LOC105344912,2
LOC105344910,0
LOC105344909,22
LOC105332177,3
LOC105332176,166
LOC105332175,1834
LOC105338241,37512
LOC109619778,3
LOC105326969,57
LOC105338240,2
LOC117687675,3
LOC105338239,0
LOC105343937,24
LOC105338293,6
LOC117687676,30
LOC105338275,6862
LOC105338268,326
LOC117688624,1
LOC109617177,38
LOC105344784,422
LOC105344788,52
LOC105344787,0
LOC117687724,0
LOC117687725,208
LOC109619985,23
LOC109618612,1
LOC117687726,177
LOC117687727,49
LOC117687728,4
LOC117687729,3
LOC117687730,4
LOC105324463,23
LOC105334072,0
LOC105334073,7
LOC105343996,18
LOC105317886,76
LOC117686955,6
LOC105328845,10
LOC105329177,1
LOC105329173,11
LOC117686961,15
LOC105340139,36
LOC117686964,3
LOC105347399,10
LOC117686967,0
LOC117686953,1
LOC117686960,41
LOC117686954,3
LOC117686968,0
LOC105323786,0
LOC117686959,0
LOC117686965,8
LOC105337731,4
LOC105337737,1
LOC117686956,11
LOC117686951,1
LOC117686957,198
LOC109618231,35
LOC117686963,0
LOC117688625,0
LOC105335276,0
LOC105328017,0
LOC109620806,5
LOC105327973,49
LOC105337556,9
LOC117686958,0
LOC117686969,0
LOC105339919,0
LOC117688626,23
LOC105336570,0
LOC117686966,0
LOC117686962,174
LOC105326727,4
LOC105326726,70
LOC105326751,1
LOC105326723,26218
LOC117686970,32
Trnal-aag,0
LOC105326722,30845
LOC105323913,63718
LOC109618564,0
LOC105326721,66946
LOC105326720,5197
LOC105326719,1269
LOC105326718,15045
LOC105326716,2165
LOC105325247,85906
LOC105325248,8366
LOC105325249,3101
LOC105325250,37
LOC109618371,0
LOC117686972,0
LOC105325313,0
LOC105344880,0
LOC117686973,4
LOC117686974,0
LOC117686975,78
LOC105330702,49
LOC105330709,0
LOC105331760,4
LOC117686976,0
LOC105331761,5
LOC105330701,543
LOC117686977,40
LOC105331753,15
LOC105331755,94
LOC105331764,15569
LOC105331756,17710
LOC105334972,6
LOC117686978,7
LOC105319776,1
LOC117686979,1
LOC105319777,520
LOC105319779,0
LOC105319780,2
LOC105319781,78
LOC105322508,136
LOC105319782,0
LOC117686980,0
LOC117686981,0
LOC105325331,17
LOC105330507,0
LOC117686982,0
LOC105340216,37
LOC117687055,147
LOC105325306,315
LOC105325305,137
LOC105325303,2
LOC117686938,0
LOC105325301,24
LOC105346635,128
LOC105346636,685
LOC105346641,2
LOC117688025,645
LOC105346643,25
LOC109618977,0
LOC105330165,5
LOC105323901,2
LOC105330168,0
LOC109618485,1
LOC105346225,2
LOC105346214,4
LOC109620989,6
LOC105337209,1176
LOC117688295,0
LOC117688296,2
LOC105319645,0
LOC117688297,6
LOC117688298,2
LOC105319644,0
LOC117688299,0
LOC105332942,0
LOC105319652,0
LOC105319646,1
LOC105319647,1242
LOC105319653,143
LOC105319648,12
LOC105319649,0
LOC105319650,1
LOC117686922,0
LOC105319651,13
LOC117686921,3
LOC117680557,2
LOC117686991,2
LOC105342140,8
LOC105317772,9
LOC117686992,1
LOC117687263,1
LOC117687791,1
LOC117687794,1
LOC105324433,45
LOC105321626,281
LOC117687793,0
LOC117687792,0
LOC105328528,0
LOC117688627,5
LOC105342489,0
LOC117687795,1
LOC117687796,1
LOC105337010,96
LOC117688628,0
LOC117687798,0
LOC117687797,2
LOC105334720,12
LOC109619975,95
LOC117687799,0
LOC117686830,5
LOC117686833,0
LOC117686832,0
LOC117686831,0
LOC117686835,0
LOC105348605,0
LOC105348606,6
LOC117686834,0
LOC105332555,1666
LOC117687031,46
LOC117688629,7
LOC117687032,8
LOC105346419,6432
LOC105346420,469
Trnaa-ugc,0
LOC105346422,2121
LOC105317422,2239
LOC105346421,2071
LOC105340145,54
LOC105340144,0
LOC117688171,4709
LOC117688172,66
LOC117688174,0
LOC117688173,0
LOC105347233,1317
LOC105347235,3518
LOC105347236,209
LOC105319156,358
LOC105319775,224
LOC105319159,0
LOC105319158,0
LOC105319157,0
LOC117688291,0
LOC117688292,0
LOC105319783,0
LOC105330552,0
LOC117688630,0
LOC105330551,0
LOC117688722,46
LOC109619739,30
LOC117688721,5
LOC105330549,36
LOC105333155,75
LOC105323978,43
LOC117687683,0
LOC105322039,6
LOC105322038,0
LOC105322036,12
LOC117686923,53
LOC105336491,148
LOC105332826,3
LOC109620919,1
LOC105338723,19
LOC105338709,2
LOC117688003,3
LOC117687993,9
LOC117688006,14
LOC109620917,2
LOC117687997,0
LOC117688631,5
LOC117688632,0
LOC117688633,67
LOC117688004,101
LOC105342213,16
LOC117687994,0
LOC105317080,0
LOC105327372,0
LOC117688007,6
LOC117688005,33
LOC105329286,462
LOC117688634,637
LOC105320905,18
LOC105327066,3764
LOC105330580,7
LOC117687998,7
LOC117687996,1
LOC117688002,8
LOC109619148,1
LOC105333423,4
LOC117687999,3
LOC117688635,1
LOC117688001,76
LOC117687995,23
LOC105340873,2
LOC117688000,6
LOC105317270,3
LOC117687992,1
LOC105319063,1772
LOC117687150,1
LOC117687677,25
LOC117687678,0
LOC117687679,8
LOC105342884,20
LOC105338711,4
LOC105344486,277
LOC117687680,36
LOC109617929,165
LOC117687681,4
LOC105322657,0
LOC105322658,3607
LOC105322659,2371
LOC105322660,1740
LOC105322661,150
LOC105322722,46968
LOC105322721,2294
LOC105322720,28
LOC105322719,6005
LOC105322717,8613
LOC105322716,221
LOC117687359,72
LOC117687360,11
LOC117687361,1
LOC117687362,19
LOC117687363,15
LOC117687364,3
LOC117687366,1
LOC117687365,206
LOC105340674,158
LOC105340673,71
LOC105341986,3
LOC105341987,1773
LOC109619296,37
LOC117688636,0
LOC117688638,0
LOC117687368,20
LOC117687369,193
LOC105319404,15
LOC105319410,32438
LOC105348020,27
LOC105321650,0
LOC117688359,748
LOC117688639,0
LOC105333788,208
LOC109619128,2190
LOC117687136,1117
LOC117680606,1
LOC117688283,76
LOC109617850,6
LOC105336427,3
LOC117688284,2
LOC117688640,0
LOC117688285,2
LOC117688287,3
LOC117688289,1
LOC117688286,0
LOC117688641,0
LOC117687544,2
LOC105336444,0
LOC117688642,0
LOC105336429,7
LOC105336428,0
LOC117686944,0
LOC105327889,10
LOC109618712,1
LOC117686945,0
LOC105336445,2890
LOC109619773,8
LOC105336446,348
LOC105336430,239
LOC105336431,92
LOC105323099,131
LOC105323903,2039
LOC117687737,67
LOC105330712,265
LOC117688669,2343
LOC105337929,190504
LOC117688670,31
LOC105337927,1
LOC105337926,2
LOC117688671,48
LOC105331043,1
LOC109617562,7
LOC117688681,1
LOC109620375,1
LOC105322140,68
LOC105336818,2
LOC105318485,10
LOC105327790,241
LOC117680631,116
LOC117688680,0
LOC109617831,151
LOC117688674,0
LOC105329042,17
LOC105335172,1
LOC117688675,0
LOC117688679,0
LOC105346257,0
LOC117688678,0
LOC117688676,12
LOC105335173,1
LOC117688672,4
LOC117680506,0
LOC117688673,968
LOC117688677,10
LOC105336820,9
LOC105319714,0
LOC105335170,6
LOC105336863,41
LOC105337044,3527
LOC105336879,150
LOC105336913,7066
LOC105336896,0
LOC117687772,155
LOC105336887,6
LOC117687036,0
LOC117687037,0
LOC105329504,5
LOC109618176,448
LOC117688643,0
LOC109618161,70
LOC109617337,6
LOC117687461,1
LOC105342584,19
LOC117687462,7
LOC117687453,136
LOC117687457,99
LOC105343542,1146
LOC109619606,709
LOC117687465,56
LOC105323967,40
LOC117687458,14
LOC117687468,45
LOC105338511,461
LOC117687464,0
LOC117687466,36
LOC105328529,1
LOC105336997,9
LOC117687459,2
LOC105342819,94
LOC117687478,2
LOC105330123,51
LOC105327883,107
LOC105327882,315
LOC105328450,286
LOC117688644,0
LOC117688645,0
LOC117687469,44
LOC105323939,112
LOC117687472,130
LOC117687474,19
LOC105336432,102
LOC117687476,71
LOC117687463,245
LOC117687475,0
LOC117687477,12
LOC117688646,0
LOC105323757,18
LOC105323061,17
LOC117687467,1
LOC117680355,9
LOC109619480,964
LOC109619623,7
LOC117687473,17
LOC117687455,15
LOC117687450,57
LOC109620628,236
LOC105317930,13
LOC105342850,503
LOC109620627,102
LOC117687480,215
LOC105335327,114
LOC117687479,124
LOC105324523,207
LOC117687707,0
LOC117688647,0
LOC117688648,0
LOC117687708,26
LOC117687709,5
LOC117687710,0
LOC109617793,7
LOC105342203,1
LOC105346777,41
LOC117687711,0
LOC117687712,0
LOC105330930,3530
LOC105341150,1226
LOC105330929,5830
LOC105335530,865
LOC105329907,178
LOC105342849,2
LOC105326817,1152
LOC117687590,4994
LOC105348501,0
LOC105346459,16
LOC117687591,0
LOC117688649,54
LOC105342216,9
LOC117687592,7
LOC117688650,0
LOC117687593,0
LOC117687594,5
LOC117687595,7
LOC117687717,0
LOC117688651,0
LOC117687199,9
LOC117680522,353
LOC117687019,120
LOC117687072,0
LOC105342214,0
LOC117687658,44
LOC117687179,3
LOC117687180,6
LOC109620876,6
LOC105345418,2
LOC105326236,6
LOC117688652,1
LOC117687268,7
LOC117689524,1
LOC117689494,0
LOC109617676,1
LOC117689030,0
LOC117689029,324
LOC117689505,26
LOC117689031,0
LOC117689032,4
LOC117689506,14
LOC105323598,118
LOC117689059,0
LOC117689060,0
LOC109618084,0
LOC105323599,68
LOC105323600,11
LOC105323602,5257
LOC105323603,11383
LOC105323604,2303
LOC105335538,3
LOC105335536,114
LOC105335537,51
LOC105335534,22327
LOC105335533,7941
LOC105326667,1
LOC105317295,1
LOC117689298,389
LOC105326652,1465
LOC105326650,2701
LOC105326649,2368
LOC105326648,1709
LOC105322958,24264
LOC105326666,288
LOC109621218,140
LOC109618554,89
LOC105326646,5831
LOC105317066,3983
LOC105340399,64811
LOC105335531,2972
LOC105326607,55
LOC117689061,64
LOC105326608,1155
LOC105326604,906
LOC117689299,2
LOC117689300,9
LOC117689301,1
LOC117689082,45
LOC117689303,0
LOC117689302,6
LOC117689083,194
LOC117689304,5031
LOC105348300,6299
LOC105348302,37
LOC105325252,24
LOC105325251,34616
LOC109619006,52
LOC117689305,12
LOC117689084,2
LOC117689097,0
LOC117689099,1
LOC117689306,0
LOC117689307,20
LOC117688730,3
LOC117688731,1
LOC117688732,1
LOC117689100,0
LOC117688733,0
LOC117689101,0
LOC117689102,11
LOC117688734,19
LOC105335632,14
LOC109619651,6
LOC105335489,121139
LOC105335482,1
LOC117688736,0
LOC117688735,11
LOC117688737,0
LOC117688738,0
LOC117688739,57
LOC117688740,9
LOC117688741,0
LOC105325979,841
LOC105324144,0
LOC105325980,0
LOC105325981,0
LOC105341968,75
LOC117689103,162
LOC117689104,17
LOC117689105,0
LOC105344292,17
LOC117689106,0
LOC105344290,11
LOC105344298,42
LOC117688745,6
LOC105344289,2063
LOC105344297,50
LOC105344288,218
LOC105344287,146
LOC105344296,217
LOC105344286,302
LOC105343365,71
LOC109621106,330
LOC105324340,14672
LOC105343367,8680
LOC105338146,2277
LOC105338147,81
LOC105338156,8
LOC105338148,1
LOC109618369,0
LOC117688749,0
LOC117688748,0
LOC105320895,52
LOC105320896,11
LOC117688760,0
LOC117688743,0
LOC105347767,7903
LOC117688744,0
LOC105347765,2
LOC105347764,2009
LOC117688759,26
LOC117689107,0
LOC105317708,5633
LOC105317707,23
LOC105319871,8551
LOC105319868,10338
LOC117688750,389
LOC105339605,143
LOC117688747,2
LOC105346793,238
LOC117688756,0
LOC117688753,1
LOC117688754,16
LOC117680604,24
LOC105324484,61
LOC117688755,0
LOC117688751,21
LOC117688742,94
LOC105346791,1
LOC117688758,12
LOC117688757,9
LOC117688752,9
LOC117688746,1
LOC117688761,4
