"",Matrix::rowSums(assay(CPbla_cds))
LOC105342666,1248
LOC105342662,2302
LOC105342663,2811
LOC105342661,814
LOC105345081,287
LOC117680715,9
LOC105328365,19
LOC105348845,24
LOC117680717,0
LOC105329836,13
LOC117685910,1
LOC105322005,73
LOC105317156,891
LOC117680723,4
LOC105317155,334
LOC105317153,14
LOC105317195,0
LOC117680730,2
LOC105341162,2
LOC105341160,74
LOC105341161,13
LOC105341159,34
LOC105324729,0
LOC105324738,3
LOC105324748,3217
LOC105324758,6187
LOC105324764,1327
LOC105324771,1023
LOC105324874,136
LOC105324919,0
LOC105324926,254
LOC117686211,0
LOC117680738,3
LOC105324933,5039
LOC105325056,100
LOC105324941,9
LOC105325008,411
LOC105325025,35
LOC105319679,176
LOC105319678,444
LOC105319676,9
LOC105319675,10
LOC105319674,17
LOC105319673,41
LOC105319672,47
LOC117686468,1
LOC105342288,239
LOC105317724,227
LOC117686470,105
LOC105342291,17
LOC105342290,0
LOC105342289,909
LOC105329981,202
LOC105329969,9971
LOC117686489,108
LOC105329970,11
LOC117686493,56
LOC105339112,3
LOC105344673,157
LOC117686501,3
LOC105321326,6579
LOC105321321,20
LOC105321322,902
LOC105321320,1896
LOC105322465,4
LOC105321318,0
LOC117686523,1
LOC109619409,10
LOC105321317,5920
LOC105321316,639
LOC105321315,22086
LOC105330927,82
LOC105334580,579
LOC117686542,0
LOC117686546,0
LOC105323572,259
LOC105330917,1
LOC105339908,103
LOC105339926,218
LOC105339907,743
LOC117686563,27
LOC105331106,315
LOC105331108,50
LOC105331109,34525
LOC117686579,0
LOC105331110,28601
LOC117686581,0
LOC105342143,271
LOC105331111,9663
LOC105331113,348
LOC105331114,8
LOC105331115,1619
LOC105345505,307
LOC105345516,389
LOC105345523,117
LOC105345499,1
LOC105345491,18
LOC105346715,0
LOC117686601,0
LOC105318366,1
LOC105318359,342
LOC105322449,18
LOC105318355,32
LOC117686634,1
LOC105318354,3
LOC117686635,1
LOC117686637,7
LOC109620986,1
LOC105318352,85
LOC105318351,9
LOC105318350,0
LOC105318348,0
LOC105318346,1
LOC105318345,53
LOC105318344,4964
LOC105322727,1
LOC109617314,22
LOC105318341,27
LOC105318342,743
LOC105318362,758
LOC117686658,1
LOC105335559,174
LOC117680743,2
LOC117684914,133
LOC105336081,12
LOC105332503,2
LOC117684913,56
LOC117681663,9
LOC117681565,4
LOC117681755,0
LOC105332518,4
LOC117683892,0
LOC117687447,2
LOC117686947,14
LOC105322840,41
LOC117687276,0
LOC105321769,3
LOC117688043,0
LOC117688047,0
LOC117687278,0
LOC117688048,0
LOC105327081,0
LOC117688051,0
LOC117687279,0
LOC105331010,1
LOC117688052,1
LOC117688050,0
LOC117688054,1
LOC117688057,0
LOC117688045,1
LOC117688056,0
LOC117688042,13
LOC105348631,0
LOC117688041,12
LOC105321361,13
LOC109619091,0
LOC117688046,0
LOC117688055,0
LOC109618202,9
LOC105328434,2
LOC117687280,0
LOC117687281,0
LOC117688040,2
LOC117688049,0
LOC117688044,0
LOC117687283,0
LOC105317816,1
LOC117687284,0
LOC117688053,0
LOC109619474,0
LOC105331440,0
LOC105331418,3
LOC105331402,107
LOC105331385,292
LOC117688059,1
LOC117688058,50
LOC117688061,10
LOC117688060,0
LOC105333286,6
LOC105345344,0
LOC105345529,1
LOC117688062,776
LOC105335831,635
LOC117688063,0
LOC109619706,15
LOC105335830,4
LOC117688064,0
LOC117680577,1
LOC117688065,2
LOC105317044,2774
LOC105317043,158
LOC105335145,14
LOC105335144,0
LOC117688066,0
LOC105335146,1
LOC105335148,355
LOC117688067,0
LOC105342839,639
LOC105342838,1
LOC117686924,149
LOC105342841,305
LOC117687719,0
LOC109620151,3
LOC117687720,0
LOC117687287,1
LOC117687721,1
LOC117687722,0
LOC117687288,0
LOC117687723,0
LOC105319485,0
LOC117687289,0
LOC117688234,0
LOC117688235,14
LOC117688236,6
LOC105332973,0
LOC117687292,168
LOC105336698,1
LOC117688237,0
LOC117687293,0
LOC105327006,1
LOC117686867,1
LOC117687294,0
LOC117687696,0
LOC117687295,0
LOC117687296,1
LOC105326897,3
LOC117687697,2019
LOC117687698,4
LOC117687699,0
LOC117687700,0
LOC105317633,37
LOC105327485,0
LOC109619610,46
LOC117687860,0
LOC117687135,1
LOC117687297,0
LOC117686942,8
LOC117687856,1
LOC117688009,0
LOC105326906,1
LOC105326905,1
LOC117680632,0
LOC105326909,113
LOC105326910,707
LOC117687327,2
LOC117687328,1
LOC105326912,0
LOC117687695,0
LOC109617062,2
LOC117688347,0
LOC117687298,0
LOC109618591,0
LOC117687245,0
LOC117687246,0
LOC117687516,0
LOC117680612,19
LOC117686819,169
LOC105330894,0
LOC117686821,2
LOC105321483,1
LOC109619354,0
LOC117686816,6
LOC117686829,6
LOC117686823,1
LOC105330867,13
LOC117686824,1
LOC117686827,0
LOC117686815,4
LOC117686826,0
LOC117680579,0
LOC109620068,214
LOC117686820,856
LOC117687299,0
LOC105320761,11
LOC117686817,126
LOC117686825,103
LOC117686822,4
LOC117686828,7
LOC105320269,25
LOC117687301,0
LOC105343503,37
LOC105343502,0
LOC105329700,127
LOC117687392,1
LOC105348298,3
LOC109618075,29
LOC117687404,8
LOC105317790,58
LOC117687388,53
LOC105317732,9
LOC105317733,0
LOC117687393,0
LOC117687384,0
LOC105347325,1
LOC117687302,4
Trnay-aua,0
LOC105324223,176
LOC105346795,30
LOC117687401,0
LOC117687385,0
LOC105324325,25
LOC117687303,2
LOC117687382,97
LOC117687399,48
LOC117687405,991
LOC117687304,0
Trnay-aua_1,0
LOC117687305,14
LOC117687397,0
LOC117687377,11
LOC117687387,199
LOC105342260,261
LOC105331372,46
LOC105324121,170
LOC117687391,5
LOC117687390,37
LOC117687394,0
LOC109618177,10
LOC117687403,3
LOC109618954,13
LOC117687407,4
LOC117680509,819
LOC117687395,0
LOC117687400,2
LOC117687389,0
LOC117687375,7
LOC105346452,1
LOC109619215,0
LOC105331973,8
LOC117687402,2
Trnay-aua_2,0
LOC117687312,228
LOC105331383,162
LOC105333904,3
LOC117687396,8
LOC117687406,12
LOC105346433,66
LOC117687386,699
LOC105324301,266
LOC117687398,0
LOC117687376,2
LOC105342262,4
LOC105317458,4
LOC105346378,66
LOC105346367,139
LOC105346358,14
LOC117687409,0
LOC105342928,1966
LOC117687408,72
LOC105342926,2136
LOC105348835,0
LOC105348847,0
LOC105331382,309
LOC117687410,154
LOC105331381,2536
LOC105331392,0
LOC105331391,0
LOC105338750,145
LOC105345394,23
LOC105329892,18
LOC105329991,22
LOC105326524,3
LOC117687042,4
LOC105334301,0
LOC117687117,27
LOC117687314,0
LOC105335349,9
LOC117687785,1
LOC117687786,9
LOC117687788,19
LOC117687787,0
LOC105333856,1
LOC105334634,1
LOC117687317,0
LOC109617165,2
LOC117687789,0
LOC109618435,502
LOC117687790,2
LOC109617782,6
LOC109617783,0
LOC109619535,18
LOC105343435,2
LOC117687175,149
LOC105333854,139
LOC105323948,120
LOC105339947,2904
LOC117687319,0
LOC117687320,223
LOC117687746,0
LOC105326507,163
LOC117687747,2
LOC105341307,962
LOC117687753,158
LOC117687758,20
LOC117687756,131
LOC117687762,189
LOC117687766,154
LOC105341037,62
LOC117687769,35
LOC117687321,19
LOC105327476,635
LOC117687760,105
LOC117687751,5
LOC117687750,38
LOC117687759,3
LOC117680653,23
LOC105337677,3
LOC117687749,65
LOC105327072,22
LOC109620166,24
LOC117687761,16
LOC117687765,4
LOC105327071,52
LOC117687763,85
LOC105326241,2139
LOC105326243,184
LOC105326242,148
LOC105326244,6
LOC117687322,0
LOC105333861,0
LOC105337275,0
LOC105335612,0
LOC105330212,152
LOC117687767,2
LOC117687752,3
LOC117687748,0
LOC117687326,0
LOC117687754,0
LOC117687757,3
LOC105344551,107
LOC117687764,5
LOC117687768,7
LOC117687329,0
LOC117687332,0
LOC109620710,52
LOC117686897,2
LOC117687949,0
LOC105330869,2
LOC117687950,9
LOC105330866,996
LOC105330865,474
LOC105330864,5
LOC105346970,227
LOC117687951,3
LOC105346971,539
LOC117687335,1
LOC105327231,115
LOC117687954,6
LOC117687955,93
LOC117687959,23
LOC105324242,74
LOC117687952,132
LOC117687962,0
LOC117687957,0
LOC117687953,4
LOC117687956,358
LOC117687961,7
LOC117687336,153
LOC105346881,164
LOC105319444,990
LOC105319466,5673
LOC105319445,3349
LOC117687958,2
LOC109620248,3691
LOC105340368,9341
LOC105337630,1007
LOC117687337,75
LOC105334182,2575
LOC105323929,1757
LOC109617926,0
LOC117687225,9
LOC117687702,2
LOC117687338,19
LOC117687323,2
LOC117687782,3
LOC117687339,0
LOC109621022,3
LOC105324741,190
LOC117687783,3
LOC105324739,2
LOC105324737,0
LOC105324736,207
LOC109618290,0
LOC117687527,1
LOC117687535,0
LOC117687531,1
LOC117687533,1
LOC117687534,0
LOC109617125,0
LOC105324777,0
LOC117687530,2
LOC117687340,0
LOC117687529,185
LOC117687341,47
LOC105332521,0
LOC105332517,4
LOC117687537,2
LOC105346765,3
LOC105346764,0
LOC117687538,0
LOC117687536,0
LOC105346763,13
LOC105346761,0
LOC117687539,1
LOC117687162,0
LOC117687483,0
LOC117687484,16
LOC117687485,3
LOC117687487,0
LOC117687488,6
LOC105328187,1
LOC117687489,0
LOC117687490,0
LOC105341170,0
LOC117687491,5
LOC117687345,0
LOC105346055,0
LOC117687346,0
LOC117687492,5
LOC117687347,0
LOC105344844,0
LOC117687493,15
LOC117687500,48
LOC117687349,1
LOC117687498,3
LOC105329701,73
LOC117687505,18
LOC105339533,21
LOC117687501,0
LOC117687494,1
LOC117687502,0
LOC105339534,2
LOC117687499,0
LOC105323110,5
LOC117687496,53
LOC117687351,27
LOC117687503,0
LOC117687504,0
LOC117687495,44
LOC105324114,1
LOC105320272,44
LOC117687244,41
LOC117687065,0
LOC109620148,0
LOC117686906,0
LOC117686907,12
LOC105326918,0
LOC105326916,0
LOC105326914,0
LOC105326913,0
LOC117686908,0
LOC105326911,2
LOC117686910,113
LOC117687352,140
LOC117687010,0
LOC105326904,0
LOC109618232,0
LOC117687121,14
LOC117687291,3
LOC117687050,0
LOC117687249,3
LOC117686916,1
LOC105342797,4
LOC117687097,1
LOC105342425,1
LOC117687102,0
LOC117687034,0
LOC117687033,250
LOC105326900,114
LOC117686994,15
LOC109620060,37
LOC117686900,3
LOC105326899,1
LOC105344054,0
LOC109620672,2
LOC117687353,3
LOC105326717,0
LOC105331168,1
LOC105327005,0
LOC105327007,1
LOC117686837,0
LOC117687233,6
LOC117687234,6
LOC117687230,0
LOC117687354,295
LOC117688082,3
LOC117688083,0
LOC105332399,3
LOC105345565,0
LOC117688084,21
LOC105319634,10
LOC117688085,0
LOC117687355,0
LOC117688086,0
LOC117687356,18
LOC117688087,0
LOC117688089,0
LOC117688090,1
LOC117688088,49
LOC117688091,0
LOC117688092,0
LOC117687357,0
LOC117688093,0
LOC117688373,0
LOC117688094,0
LOC117688095,1
LOC105332972,0
LOC105344489,0
LOC109619345,0
LOC105332941,0
LOC105345339,20
LOC105332940,1
LOC105333960,1
LOC105344478,0
LOC117688096,1
LOC117688097,0
LOC105335220,26
LOC117688374,0
LOC105317045,1
LOC117688118,110
LOC117688101,16
LOC109619365,260
LOC105325525,0
LOC117688106,3
LOC105336601,0
LOC105333276,926
LOC117688127,1
LOC117688121,2
LOC117688133,0
LOC117688099,0
LOC117688145,1
LOC117688111,0
LOC117688112,0
LOC117688150,1
LOC117688128,0
LOC109619111,10
LOC117688119,394
LOC117688100,66
LOC117688102,0
LOC105331431,2
LOC117688137,0
LOC117688130,0
LOC105332272,0
LOC117688135,0
LOC105332793,8
LOC117688120,2
LOC117688131,24
LOC105331048,0
LOC105332269,2
LOC105331003,1
LOC117688110,0
LOC117688122,0
LOC117688105,0
LOC117688129,16
LOC117688144,0
LOC117688148,0
LOC117688113,0
LOC117688136,0
LOC117688146,0
LOC117688114,0
LOC105331045,0
LOC117688147,0
LOC105321759,2
LOC117688117,0
LOC105331044,2
LOC117688115,0
LOC117688103,1
LOC105344181,0
LOC109620709,1
LOC117688149,50
LOC117688134,0
LOC117688143,2
LOC117688141,0
LOC117688375,0
LOC117688126,0
LOC117688376,0
LOC117688132,0
LOC117688098,4
LOC117688377,0
LOC117688123,0
LOC105331009,1
LOC117688107,0
LOC105326710,38
LOC117688109,5
LOC117688378,1
LOC117688124,13
LOC105329162,1
LOC117688140,0
LOC117688379,3
LOC117688139,0
LOC117688142,2
LOC105348257,0
LOC117688116,2
LOC117688380,0
LOC109617834,6
LOC117688381,1
LOC105318552,7
LOC105321768,6
LOC117688108,1
LOC117688138,0
LOC117688104,41
LOC117687204,3
LOC117687665,3
LOC117687007,0
LOC117688382,1
LOC117688383,0
LOC117688384,0
LOC117687449,0
LOC117687219,0
LOC117687196,10
LOC105333714,75
LOC117687099,8
LOC105333716,67
LOC117688385,1
LOC117688386,1
LOC105333691,4
LOC117688161,87
LOC117688162,0
LOC117688387,1
LOC117688163,1
LOC117688164,0
LOC117688165,0
LOC117688388,8
LOC117688167,0
LOC117688166,3
LOC117688389,0
LOC117688390,0
LOC117688391,0
LOC105346408,18
LOC105346403,27
LOC117688169,0
LOC117688168,0
LOC117688170,43
LOC105321443,0
LOC117687167,4
LOC117687130,0
LOC117687214,11
LOC117686984,4
LOC117686985,424
LOC105346623,1
LOC117686983,83
LOC105344035,14
LOC117687195,2
LOC105333683,69
LOC117686904,1
LOC109621079,14
LOC105347172,0
LOC117686905,14
LOC105332585,5
LOC117687145,10
LOC105327273,0
LOC105333021,137
LOC117687412,0
LOC117687413,8
LOC105326032,25
LOC117687414,10
LOC105339689,7
LOC117687415,1
LOC105344680,34
LOC105339692,8
LOC105339693,15
LOC105348378,138
LOC105348381,24
LOC105332267,2
LOC117688392,0
LOC105332268,2
LOC117687418,6
LOC109619279,3
LOC105332547,1
LOC117687419,4
LOC105341257,5
LOC117687421,0
LOC117688393,0
LOC117687420,0
LOC117687417,9
LOC117688394,10
LOC105341259,9
LOC105341260,8
LOC105341274,6
LOC105345033,4
LOC105345036,1
LOC117687555,2
LOC117687556,0
LOC105334074,10
LOC105338758,1
LOC117687557,2
LOC105329382,4
LOC109618092,0
LOC117687559,1
LOC117687561,0
LOC117687560,31
LOC117687562,8
LOC105317717,63
LOC105323561,2
LOC105323859,0
LOC105333115,0
LOC105340645,0
LOC105340252,1
LOC105340253,4
LOC105340251,1
LOC117687038,0
LOC105319922,11
LOC109618616,21
LOC117686917,0
LOC117687627,6
LOC105344929,1
LOC117686806,1
LOC117688395,89
LOC109620112,0
LOC117686805,0
LOC117687048,3
LOC105317046,1008
LOC105346392,2
LOC105326682,0
LOC117688310,0
LOC105335475,0
LOC117688309,4
LOC117687201,0
LOC117687166,1
LOC117688396,0
LOC117686943,4
LOC117688397,15
LOC105347850,0
LOC117687152,0
LOC117687598,0
LOC105326185,0
LOC109618941,25
LOC117687669,2
LOC105324138,3
LOC105343864,0
LOC105348812,0
LOC117688398,1
LOC109617870,0
LOC105347919,27
LOC117687670,194
LOC105334230,25
LOC105328763,3
LOC117687671,3
LOC117687672,0
LOC117687092,0
LOC105318911,3
LOC109621216,2
LOC105348266,0
LOC117687090,3
LOC105331878,30722
LOC105348250,6815
LOC105348251,0
LOC117680527,0
LOC117687138,0
LOC117688399,0
LOC105327299,0
LOC105327326,0
LOC105327333,0
LOC105327342,1
LOC105328158,4
LOC105335774,4
LOC117688360,32
LOC109618250,1
LOC117687688,0
LOC105319954,1
LOC117687689,1
LOC105332012,1
LOC109619222,1
LOC105328614,6
LOC117687690,1
LOC105332010,0
LOC105332060,0
LOC105332009,0
LOC117687691,19
LOC105344028,6
LOC117687693,733
LOC105335569,3
LOC117687692,0
LOC105340460,7
LOC105332059,2
LOC117687694,0
LOC117680605,0
LOC117688400,0
LOC105345746,0
LOC105339934,0
LOC105339932,956
LOC117688401,1
LOC105348325,0
LOC105346937,2
LOC117680480,8
LOC117688402,6
LOC105344319,2
LOC117688403,0
LOC109619143,8
LOC105332725,3532
LOC105335421,10039
LOC105335414,494
LOC105335413,0
LOC117688026,0
LOC109620236,0
LOC105340265,1
LOC109620235,1
LOC105340264,0
LOC117688027,0
LOC117688031,0
LOC117688029,0
LOC109621164,0
LOC117688030,0
LOC117688028,0
LOC117688032,0
LOC117688033,0
LOC117688034,0
LOC105334241,0
LOC117688035,0
LOC117688036,0
LOC117688037,0
LOC105323120,0
LOC105323074,0
LOC105323073,0
LOC105323072,0
LOC105323071,0
LOC105323070,0
LOC105323069,0
LOC117688404,0
LOC105335388,0
LOC105323067,0
LOC105323066,0
LOC117688038,0
LOC105323065,0
LOC105323064,1
LOC105323063,16
LOC117688039,26
LOC105323062,1
LOC105324668,1
LOC105324616,41
LOC105324617,30150
LOC105324619,12
LOC105324620,1571
LOC105324621,706
LOC105324622,38
LOC105324623,3
LOC105330034,7
LOC117688405,121
LOC105338288,0
LOC117687628,5
LOC105338289,0
LOC117687629,0
LOC117687630,1
LOC105325495,0
LOC105331176,3
LOC117687631,1
LOC117687632,0
LOC117687633,15
LOC117688406,1
LOC117687634,5
LOC117687639,5
LOC117687637,2
LOC117687638,67
LOC105342441,0
LOC117687635,34
LOC105340002,10
LOC117688407,0
LOC109620948,94
LOC117687640,2
LOC105346606,33
LOC105331900,204
LOC117687636,76
LOC109617342,0
LOC109619018,18
LOC117687641,243
LOC105324075,137
LOC109618776,11
LOC117687644,70
LOC117687642,657
LOC109621137,87
LOC105324593,6780
LOC105324592,1
LOC117687645,0
LOC105324591,4
LOC117687647,0
LOC117687646,4
LOC105324589,1
LOC105324587,0
LOC105324585,103
LOC117687648,0
LOC117687649,0
LOC105324087,1
LOC109617866,11
LOC109618037,1
LOC105324091,10
LOC105324089,0
LOC105324086,403
LOC117687651,0
LOC117687650,0
LOC105324085,76
LOC105324084,534
LOC105343834,2
LOC117687653,0
LOC117687652,0
LOC117687654,0
LOC105344057,1
LOC105321406,0
LOC105321407,0
LOC105321451,0
LOC105321450,1087
LOC105321448,6270
LOC117687655,8
LOC117687657,26
LOC105321447,0
LOC117688408,9
LOC105318683,2597
LOC105318709,10
LOC117687874,2
LOC105335442,318
LOC105328153,26
LOC105328155,485
LOC105328169,15
LOC105320359,0
LOC117688344,28
LOC105320361,0
LOC105339917,59
LOC105320641,122
LOC117688345,0
LOC117688409,0
LOC117688346,0
LOC117688410,0
LOC105320758,0
LOC117687035,0
LOC105343499,0
LOC105341379,0
LOC117687178,0
LOC105327408,0
LOC105343560,0
LOC105345362,25
LOC105331371,7016
LOC105331333,83
LOC117687890,653
LOC117687003,2663
Trnal-uaa,0
Trnal-uaa_1,0
LOC109617058,1
LOC117688203,3
LOC105345594,9
LOC105345593,9
LOC105345633,4
LOC117688204,1
LOC117688205,1
LOC105345591,3
LOC105345590,22
LOC117688206,0
LOC105321943,0
LOC117688207,3
LOC105339299,1930
LOC105339334,7
LOC105320531,0
LOC117688208,11
LOC105341294,1
LOC105341290,0
LOC117688209,2
LOC117688210,0
LOC117688211,1
LOC117688411,2
LOC105341256,0
LOC109618415,9
LOC105341293,0
LOC105341287,0
LOC105341292,1
LOC105341286,3
LOC105341285,0
LOC105332910,424
LOC117688214,0
LOC117688213,80
LOC117688216,4
LOC117688217,0
LOC105335010,18
LOC105335014,10
LOC117687300,7
LOC105335008,483
LOC105335007,2307
LOC105324219,10
LOC105335013,20
LOC105335012,4
LOC105321274,4
LOC117688290,0
LOC117687925,0
LOC109617937,0
LOC117687114,0
LOC105321286,1
LOC117686836,3
LOC105343594,22
LOC109620636,17
LOC105343593,0
LOC117687684,56
LOC117687685,0
Trnal-uaa_2,0
LOC105327856,168
LOC105327837,1
LOC105327836,1
LOC105327835,0
LOC105327834,7
LOC105343447,2
LOC105321325,87
LOC105321312,334
LOC117687686,0
LOC105329676,0
LOC105334450,0
LOC105334449,0
LOC109619550,0
LOC105334494,0
LOC117688412,0
LOC117687705,0
LOC117687915,1
LOC117688413,0
LOC117688414,1
LOC117688415,0
LOC109617379,0
LOC117688416,0
LOC117687916,0
LOC105320056,24
LOC117687917,0
LOC105320024,3
LOC117687918,0
LOC105320023,36475
LOC105320022,696
LOC105320021,6
LOC117688417,0
LOC117687919,7
LOC117687920,0
LOC117688418,0
LOC117687921,3
LOC117687922,0
LOC109620270,0
LOC105343800,12
LOC117687924,23
LOC105320054,1
LOC105346071,2
LOC117686802,0
LOC117686800,2
LOC117686801,0
LOC105331568,6
LOC117686803,0
LOC117686804,0
LOC117686866,6
LOC117688419,0
LOC105342278,516
LOC117688686,0
LOC117688685,2
LOC105342279,12
LOC105341869,29
LOC105317483,26
LOC109620479,0
LOC117688653,0
LOC117688654,22
LOC105319906,28
LOC117688655,2755
LOC117687133,0
LOC117687266,3
LOC117688420,0
LOC105319910,70
LOC105319902,0
LOC109619581,11
LOC117688343,0
LOC117688421,0
LOC117688342,2
LOC105334700,2
LOC105319909,14
LOC105319901,9
LOC105323027,2
LOC105320019,0
LOC105320017,0
LOC117688422,2
LOC105320016,124
LOC105319468,301
LOC105320013,2
LOC105323439,9
LOC105326988,1
LOC105319449,0
LOC105319467,0
LOC117687738,14
LOC117687740,0
LOC117687739,3
LOC117687741,61
LOC105319903,3
LOC105319904,0
LOC117687742,6
LOC105319905,5380
LOC117687743,62
LOC117687744,0
LOC117687745,4
LOC117680347,351
LOC109620451,11
LOC105342277,4
LOC105342276,56
LOC117687143,0
LOC117687144,0
LOC105320984,0
LOC117687423,0
LOC117687106,1
LOC105338099,0
LOC117687664,0
LOC117688423,0
Cg_lysoz3,4
LOC105348025,1
LOC105327268,0
LOC117687668,0
LOC117687239,3
LOC117687240,0
LOC105336462,0
LOC117687100,3
LOC117687333,0
LOC105327086,0
LOC105327224,0
LOC117686995,0
LOC117686997,0
LOC117688424,0
LOC117686998,0
LOC117686999,8
LOC105327085,10
LOC105339984,471
LOC117688682,8
LOC117687053,1
LOC105333616,1
LOC117687054,0
LOC117687075,0
LOC117687076,0
LOC105329055,1
LOC105348299,0
LOC105348294,0
LOC105348295,2
LOC117687861,0
LOC117687600,0
LOC117687254,0
LOC105327134,0
LOC117680487,5
LOC117688230,0
LOC117687715,1
LOC105324387,4898
LOC117687545,326
LOC105328128,3237
LOC105328129,37
LOC105328126,589
LOC105328125,1381
LOC109619571,0
LOC117687546,2
LOC117688425,0
LOC117687547,10
LOC117688426,0
LOC117687548,0
LOC117687550,0
LOC117688427,78
LOC117687551,0
LOC117688428,0
LOC117687552,54
LOC117687553,1
LOC105344873,5
LOC109617577,0
LOC117686925,0
LOC117688429,0
LOC105344697,0
LOC105344698,0
LOC117686896,109
LOC109617500,0
LOC105319175,0
LOC117687517,0
LOC105333333,0
LOC117687082,5
LOC105333349,1
LOC105319258,0
LOC105319257,0
LOC117687213,6
LOC117688430,0
LOC105338487,0
LOC105343453,0
LOC117687802,0
LOC117687801,10
LOC117688431,0
LOC109620024,4
LOC105326681,5482
LOC117688432,0
LOC105332398,0
LOC109619238,0
LOC105317594,8
LOC105322667,459
LOC117687848,2
LOC117687850,52
LOC117687834,0
LOC117687838,0
LOC117687814,0
LOC105333533,0
LOC117687837,1
LOC117687836,0
LOC117687847,0
LOC105348729,9
LOC117687804,5
LOC117687811,0
LOC117688433,14
LOC105329053,1
LOC117687815,118
LOC117688434,1
LOC117687835,0
LOC117688435,15
LOC117687816,0
LOC105325863,93
LOC117687828,0
LOC117687849,0
LOC117687813,0
LOC117687832,0
LOC105332834,0
LOC117687823,0
LOC117687827,0
LOC105331505,1
LOC117687840,1
LOC117687805,0
LOC105321764,3
LOC105324055,81
LOC117687851,10
LOC117687852,21
LOC117687829,0
LOC117687843,13
LOC105334447,0
LOC117687833,0
LOC117687821,0
LOC117687826,0
LOC105322665,0
LOC117687808,0
LOC117687845,0
LOC117687841,1
LOC117687830,0
LOC117687824,1
LOC117687822,0
LOC117688437,0
LOC105332850,0
LOC117687807,0
LOC117687806,3
LOC117687820,0
LOC109619710,5
LOC117687831,1
LOC117688439,0
LOC117687846,0
LOC117688440,0
LOC117687819,0
LOC117688441,0
LOC117687839,0
LOC117688442,1
LOC105324459,8
LOC117688443,2
LOC117687818,6
LOC117687842,0
LOC117687810,0
LOC105340856,0
LOC117687825,0
LOC105335849,0
LOC105317622,0
LOC117687853,0
LOC117687854,15
LOC105317646,218
LOC105317667,1
LOC105317677,102
LOC117687855,1
LOC105342528,60
LOC105342533,3230
LOC105345239,6274
LOC105345241,10
LOC105345242,46
LOC105345243,0
LOC105345245,0
LOC117688444,0
LOC117687235,0
LOC117687236,0
LOC117687237,0
LOC117688445,10
LOC109619663,0
LOC117687113,3
LOC105346874,4
LOC105346873,10
LOC105346871,465
LOC105346870,61
LOC105342404,5
LOC117688080,24
LOC117688081,9
LOC105348387,8
LOC117688446,0
LOC105330486,2
LOC117687089,11
LOC109617872,3
LOC117688447,4
LOC105326963,0
LOC105326949,52
LOC105326948,2370
LOC105326947,1904
LOC117688238,694
LOC105329168,44
LOC109618594,1
LOC105329171,3
LOC105326954,3
LOC117688249,1
LOC105348010,252
LOC105348008,1399
LOC117688248,0
LOC105335116,2
LOC105323564,7
LOC117688246,0
LOC105327130,3
LOC117688250,7
LOC109618982,21
LOC117688253,0
LOC117688241,1
LOC117688448,2
LOC117688449,0
LOC117688244,0
LOC117688450,0
LOC109619625,0
LOC117688240,0
LOC117688239,2
LOC117688451,2
LOC105323943,0
LOC105329193,1
LOC117688257,0
LOC117688243,4
LOC105348832,4
LOC117688254,0
LOC117688255,0
LOC105323997,3
LOC117688256,1
LOC117688245,0
LOC117688452,1
LOC117688251,0
LOC105326936,0
LOC105343679,13
LOC105343680,5185
LOC117688258,671
LOC117688259,13
LOC117688453,797
LOC117688260,0
LOC117688261,0
LOC117688262,0
LOC105321757,0
LOC117688454,0
LOC117688263,18
LOC117688264,0
LOC117680617,0
LOC117688265,0
LOC105319583,0
LOC109617549,7
LOC117688266,3
LOC105348057,14
LOC105345454,253
LOC105320891,2
LOC117680595,20
LOC117688269,9
LOC117688455,0
LOC117688271,2
LOC117688272,8
LOC105338687,8
LOC117688270,1
LOC109617550,14
LOC105348055,12
LOC117688268,8
LOC117688267,499
LOC105345456,28
LOC117687043,3
LOC105345442,16
LOC117687115,16
LOC105345443,6
LOC105317691,3609
LOC117687713,0
LOC105333300,0
LOC105333310,1
LOC105330217,1
LOC109619360,0
LOC117687873,0
LOC105337279,0
LOC105317709,0
LOC117680507,0
LOC117687866,0
LOC105324158,19
LOC117687872,0
LOC105321905,0
LOC117687871,0
LOC117687863,0
LOC117687869,1
LOC117687864,0
LOC105320670,0
LOC117687862,12
LOC105330876,2
LOC109620813,65
LOC117687870,0
LOC117687867,1
LOC105343177,0
LOC105332795,32
LOC105325080,2
LOC109617117,1
LOC105348324,5
LOC117686911,0
LOC105324029,3
LOC117686912,0
LOC105339229,4
LOC117687926,3
LOC105323899,28
LOC105348724,1
LOC109620413,0
LOC117687927,5
LOC117687928,0
LOC117688456,0
LOC117688457,0
LOC105345982,0
LOC117687044,0
LOC105343908,0
LOC117687045,11
LOC105324354,2
LOC105333387,9
LOC109620509,1
LOC105333386,1
LOC117687223,1
LOC109620504,0
LOC117687258,0
LOC117687257,0
LOC105342675,1
LOC105342720,2
LOC109620502,0
LOC117687040,0
LOC105343498,0
LOC117687041,0
LOC105343501,1
LOC105343508,5
LOC105332639,37
LOC117687008,0
LOC117687009,1
LOC105318430,9
LOC117687122,1
LOC105317782,0
LOC117687776,0
LOC117687775,0
LOC105332638,1
LOC117687778,0
LOC105332875,0
LOC109619331,0
LOC105332872,0
LOC109619065,0
LOC105339487,1
LOC117687779,0
LOC105339484,0
LOC105327985,1
LOC105317777,0
LOC109617801,34
LOC109617800,21
LOC105317817,1
LOC117687777,26
